task_id,split,in_frame,declined_reason,block_rows,block_columns,identity_layout,n_blocks,blocks_described,blocks_determined,blocks_ambiguous,blocks_unmatched,fixed_layout_determined,state_layout_determined
8403a5d5,training,True,,1,1,True,3,0,0,0,3,False,False
84551f4c,training,True,,1,1,True,3,0,0,0,3,False,False
845d6e51,training,True,,1,1,True,3,0,0,0,3,False,False
846bdb03,training,False,output_not_block_multiple,,,,,,,,,,
84ba50d3,training,True,,1,1,True,3,0,0,0,3,False,False
84db8fc4,training,True,,1,1,True,4,0,0,0,4,False,False
84f2aca1,training,True,,1,1,True,4,0,0,0,4,False,False
855e0971,training,True,,1,1,True,4,0,0,0,4,False,False
8597cfd7,training,False,output_not_block_multiple,,,,,,,,,,
85b81ff1,training,True,,1,1,True,4,0,0,0,4,False,False
85c4e7cd,training,True,,1,1,True,4,0,0,0,4,False,False
85fa5666,training,True,,1,1,True,4,0,0,0,4,False,False
8618d23e,training,False,output_not_block_multiple,,,,,,,,,,
868de0fa,training,True,,1,1,True,5,0,0,0,5,False,False
8719f442,training,True,,5,5,False,75,63,55,8,12,False,False
8731374e,training,False,output_not_block_multiple,,,,,,,,,,
878187ab,training,False,output_not_block_multiple,,,,,,,,,,
87ab05b8,training,True,,1,1,True,3,0,0,0,3,False,False
880c1354,training,True,,1,1,True,3,0,0,0,3,False,False
88207623,training,True,,1,1,True,2,0,0,0,2,False,False
8886d717,training,True,,1,1,True,3,0,0,0,3,False,False
88a10436,training,True,,1,1,True,3,0,0,0,3,False,False
88a62173,training,False,output_not_block_multiple,,,,,,,,,,
890034e9,training,True,,1,1,True,3,0,0,0,3,False,False
891232d6,training,True,,1,1,True,4,0,0,0,4,False,False
896d5239,training,True,,1,1,True,3,0,0,0,3,False,False
8a004b2b,training,False,output_not_block_multiple,,,,,,,,,,
8a371977,training,True,,1,1,True,3,0,0,0,3,False,False
8a6d367c,training,False,output_not_block_multiple,,,,,,,,,,
8abad3cf,training,False,output_not_block_multiple,,,,,,,,,,
8b28cd80,training,True,,3,3,False,45,0,0,0,45,False,False
8ba14f53,training,False,output_not_block_multiple,,,,,,,,,,
8be77c9e,training,True,,2,1,False,6,6,6,0,0,True,False
8cb8642d,training,True,,1,1,True,3,0,0,0,3,False,False
8d5021e8,training,True,,3,2,False,18,18,6,12,0,True,False
8d510a79,training,True,,1,1,True,2,0,0,0,2,False,False
8dab14c2,training,True,,1,1,True,4,0,0,0,4,False,False
8dae5dfc,training,True,,1,1,True,4,0,0,0,4,False,False
8e1813be,training,False,output_not_block_multiple,,,,,,,,,,
8e2edd66,training,True,,3,3,False,27,15,15,0,12,False,False
8e301a54,training,True,,1,1,True,3,0,0,0,3,False,False
8e5a5113,training,True,,1,1,True,3,0,0,0,3,False,False
8eb1be9a,training,True,,1,1,True,2,0,0,0,2,False,False
8ee62060,training,True,,1,1,True,3,0,0,0,3,False,False
8efcae92,training,False,output_not_block_multiple,,,,,,,,,,
8f2ea7aa,training,True,,1,1,True,3,0,0,0,3,False,False
8fbca751,training,True,,1,1,True,3,0,0,0,3,False,False
8fff9e47,training,False,inconsistent_block_layout,,,,,,,,,,
902510d5,training,True,,1,1,True,4,0,0,0,4,False,False
90347967,training,True,,1,1,True,3,2,2,0,1,False,False
90c28cc7,training,False,output_not_block_multiple,,,,,,,,,,
90f3ed37,training,True,,1,1,True,3,0,0,0,3,False,False
