environment,representation,seed,step,mean_return,return_std,success_rate,model_parameters
cartpole,featuregraph,101,27500,104.0,18.482424083436676,0.0,18434
cartpole,featuregraph,101,30000,82.8,13.46699669562594,0.0,18434
cartpole,augmented,101,2500,9.2,0.9797958971132712,0.0,18946
cartpole,augmented,101,5000,34.3,13.986064492915798,0.0,18946
cartpole,augmented,101,7500,482.1,53.7,0.9,18946
cartpole,augmented,101,10000,173.2,72.68947654234415,0.0,18946
cartpole,augmented,101,12500,248.8,103.59034704063889,0.0,18946
cartpole,augmented,101,15000,113.8,3.7094473981982814,0.0,18946
cartpole,augmented,101,17500,311.1,129.15451985896584,0.1,18946
cartpole,augmented,101,20000,126.0,12.93058390019569,0.0,18946
cartpole,augmented,101,22500,403.0,72.68700021324308,0.1,18946
cartpole,augmented,101,25000,227.1,77.88382373766711,0.0,18946
cartpole,augmented,101,27500,146.0,33.92933833719721,0.0,18946
cartpole,augmented,101,30000,159.3,20.712556578076015,0.0,18946
cartpole,raw,102,2500,9.6,0.66332495807108,0.0,17410
cartpole,raw,102,5000,62.5,42.65969995206248,0.0,17410
cartpole,raw,102,7500,103.2,3.1559467676119,0.0,17410
cartpole,raw,102,10000,134.3,8.295179322956196,0.0,17410
cartpole,raw,102,12500,203.6,76.68663508069709,0.0,17410
cartpole,raw,102,15000,185.0,49.94797293184179,0.0,17410
cartpole,raw,102,17500,195.7,81.07533533695683,0.0,17410
cartpole,raw,102,20000,158.0,33.21144381083123,0.0,17410
cartpole,raw,102,22500,120.8,12.796874618437112,0.0,17410
cartpole,raw,102,25000,97.4,14.92112596287559,0.0,17410
cartpole,raw,102,27500,89.5,2.0615528128088303,0.0,17410
cartpole,raw,102,30000,90.8,2.08806130178211,0.0,17410
cartpole,raw_history,102,2500,9.4,0.66332495807108,0.0,17922
cartpole,raw_history,102,5000,90.0,12.37739875741264,0.0,17922
cartpole,raw_history,102,7500,202.9,193.81560824660124,0.2,17922
cartpole,raw_history,102,10000,500.0,0.0,1.0,17922
cartpole,raw_history,102,12500,165.7,19.64713719603953,0.0,17922
cartpole,raw_history,102,15000,71.4,3.7735924528226414,0.0,17922
cartpole,raw_history,102,17500,115.3,60.04340096963196,0.0,17922
cartpole,raw_history,102,20000,123.1,2.7367864366808017,0.0,17922
cartpole,raw_history,102,22500,92.5,2.6551836094703507,0.0,17922
cartpole,raw_history,102,25000,123.6,10.16070863670443,0.0,17922
cartpole,raw_history,102,27500,129.4,12.289833196589774,0.0,17922
cartpole,raw_history,102,30000,136.5,30.434355587066403,0.0,17922
cartpole,featuregraph,102,2500,9.9,0.8306623862918076,0.0,18434
cartpole,featuregraph,102,5000,9.8,0.8717797887081347,0.0,18434
cartpole,featuregraph,102,7500,9.5,0.806225774829855,0.0,18434
cartpole,featuregraph,102,10000,9.4,0.66332495807108,0.0,18434
cartpole,featuregraph,102,12500,9.4,0.66332495807108,0.0,18434
cartpole,featuregraph,102,15000,9.4,0.66332495807108,0.0,18434
cartpole,featuregraph,102,17500,9.7,1.004987562112089,0.0,18434
cartpole,featuregraph,102,20000,85.3,28.16398409316409,0.0,18434
cartpole,featuregraph,102,22500,44.3,8.343260753446462,0.0,18434
cartpole,featuregraph,102,25000,55.8,7.984985911070852,0.0,18434
cartpole,featuregraph,102,27500,74.6,5.2,0.0,18434
cartpole,featuregraph,102,30000,38.4,6.102458520956943,0.0,18434
cartpole,augmented,102,2500,11.9,0.9433981132056604,0.0,18946
cartpole,augmented,102,5000,42.7,11.180787092150533,0.0,18946
cartpole,augmented,102,7500,127.5,6.5612498809297,0.0,18946
cartpole,augmented,102,10000,122.0,23.379478180660918,0.0,18946
cartpole,augmented,102,12500,115.8,36.30922747732317,0.0,18946
cartpole,augmented,102,15000,178.1,108.68803982039606,0.1,18946
cartpole,augmented,102,17500,444.9,108.98298032261735,0.7,18946
cartpole,augmented,102,20000,500.0,0.0,1.0,18946
cartpole,augmented,102,22500,463.1,110.7,0.9,18946
cartpole,augmented,102,25000,281.9,30.293398620821666,0.0,18946
cartpole,augmented,102,27500,347.5,87.96732347866451,0.1,18946
cartpole,augmented,102,30000,281.0,67.78937969918296,0.0,18946
